,#,name,price,1h %,24h %,7d %,market_cap,volume_24h,circulating_supply
0,1.0,Bitcoin,"$19,141.10",0.06%,0.56%,4.86%,"$367,077,059,924","$25,462,439,2261,330,250 BTC","19,177,431 BTC"
1,2.0,Ethereum,"$1,297.52",0.05%,0.98%,3.84%,"$159,294,012,596","$8,360,051,1236,443,083 ETH","122,767,727 ETH"
2,3.0,Tether,$1,0.00%,0.00%,0.02%,"$68,419,512,836","$33,686,939,53733,688,094,735 USDT","68,421,859,091 USDT"
3,4.0,USD Coin,$1.00,0.00%,0.00%,0.00%,"$45,874,117,388","$3,047,304,9503,047,255,915 USDC","45,873,379,208 USDC"
4,5.0,BNB,$270.97,0.06%,0.06%,7.48%,"$43,718,261,982","$567,586,8782,094,615 BNB","161,337,261 BNB"
5,6.0,XRP,$0.4892,0.29%,1.45%,1.04%,"$24,442,778,021","$1,505,505,8143,077,447,650 XRP","49,964,184,162 XRP"
6,7.0,Binance USD,$1.00,0.07%,0.09%,0.11%,"$21,645,160,254","$5,342,354,9115,338,144,332 BUSD","21,628,100,611 BUSD"
7,8.0,Cardano,$0.3857,0.22%,2.08%,10.35%,"$13,222,312,666","$423,209,6191,097,178,362 ADA","34,279,077,542 ADA"
8,9.0,Solana,$31.16,0.23%,0.44%,7.93%,"$11,137,876,449","$575,027,66018,454,886 SOL","357,458,003 SOL"
9,10.0,Dogecoin,$0.05993,0.23%,0.23%,7.78%,"$7,951,114,461","$219,416,7823,661,146,160 DOGE","132,670,764,300 DOGE"
